Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7570  2.0722    -9.1275 -2.6621
      1  -4.1463  1.1814    -6.0553 -2.4984
      2  -3.1968  0.7234    -4.2126 -2.4010
      3  -2.7766  0.5497    -3.4042 -2.3584
      4  -3.0349  0.4754    -3.5676 -2.7502
      5  -2.8828  0.4455    -3.3144 -2.6468
      6  -2.8999  0.3466    -3.3097 -2.8593
      7  -2.8650  0.2547    -3.1255 -2.8589
      8  -2.8611  0.1896    -3.1248 -2.8611
      9  -2.8642  0.1425    -3.1245 -2.8670
     10  -2.8568  0.1010    -3.1195 -2.8669
     11  -2.8582  0.0827    -3.1197 -2.8685
     12  -2.8584  0.0693    -3.1199 -2.8689
     13  -2.8561  0.0478    -3.1183 -2.8689
     14  -2.8561  0.0382    -3.1183 -2.8690
     15  -2.8559  0.0291    -3.1182 -2.8690
     16  -2.8558  0.0227    -3.1182 -2.8690
     17  -2.8627  0.0721    -3.1238 -2.8693
     18  -2.9419  0.2149    -3.3750 -2.8738
     19  -2.9417  0.1892    -3.3745 -2.8742
     20  -2.9219  0.1521    -3.3547 -2.8729
     21  -2.9085  0.1279    -3.3375 -2.8721
     22  -2.9133  0.1251    -3.3438 -2.8725
     23  -2.8706  0.0793    -3.1465 -2.8697
     24  -2.8614  0.0533    -3.1233 -2.8693
     25  -2.8587  0.0391    -3.1209 -2.8692
     26  -2.8564  0.0256    -3.1188 -2.8691
     27  -2.8566  0.0247    -3.1190 -2.8691
     28  -2.8557  0.0160    -3.1182 -2.8690
     29  -2.8554  0.0110    -3.1178 -2.8690
     30  -2.8565  0.0282    -3.1188 -2.8691
     31  -2.8652  0.0745    -3.1268 -2.8694
     32  -2.9121  0.1668    -3.3399 -2.8720
     33  -2.9008  0.1365    -3.3228 -2.8714
     34  -2.9923  0.2071    -3.3822 -2.8808
     35  -3.0573  0.2069    -3.3918 -2.9008
     36  -3.0939  0.1817    -3.3947 -2.9386
     37  -3.0484  0.2365    -3.3915 -2.8949
     38  -2.9998  0.2436    -3.3841 -2.8813
     39  -2.9560  0.2240    -3.3710 -2.8754
     40  -2.9231  0.1910    -3.3505 -2.8725
     41  -2.8912  0.1755    -3.2899 -2.8702

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0586     0.0072  0.1899
      1   0.1022  0.0585     0.0077  0.1899
      2   0.1024  0.0584     0.0081  0.1899
      3   0.1037  0.0578     0.0098  0.1901
      4   0.1028  0.0582     0.0089  0.1899
      5   0.1028  0.0578     0.0097  0.1898
      6   0.1124  0.0554     0.0153  0.1913
      7   0.1206  0.0525     0.0238  0.1924
      8   0.1221  0.0513     0.0283  0.1925
      9   0.1272  0.0488     0.0365  0.1930
     10   0.1317  0.0464     0.0452  0.1935
     11   0.1366  0.0447     0.0517  0.1943
     12   0.1407  0.0433     0.0570  0.1949
     13   0.1439  0.0413     0.0640  0.1952
     14   0.1473  0.0398     0.0694  0.1956
     15   0.1485  0.0389     0.0722  0.1957
     16   0.1491  0.0384     0.0739  0.1957
     17   0.1155  0.0431     0.0422  0.1848
     18   0.0640  0.0334     0.0147  0.1226
     19   0.0660  0.0337     0.0160  0.1248
     20   0.0690  0.0330     0.0198  0.1267
     21   0.0713  0.0325     0.0225  0.1281
     22   0.0732  0.0331     0.0234  0.1308
     23   0.0811  0.0334     0.0283  0.1385
     24   0.0845  0.0325     0.0333  0.1408
     25   0.0856  0.0321     0.0357  0.1414
     26   0.0880  0.0317     0.0386  0.1432
     27   0.0908  0.0323     0.0406  0.1470
     28   0.0930  0.0320     0.0430  0.1489
     29   0.0959  0.0324     0.0452  0.1524
     30   0.0747  0.0255     0.0340  0.1171
     31   0.0565  0.0202     0.0223  0.0888
     32   0.0408  0.0162     0.0138  0.0666
     33   0.0419  0.0160     0.0149  0.0672
     34   0.0320  0.0122     0.0100  0.0509
     35   0.0299  0.0110     0.0093  0.0462
     36   0.0300  0.0107     0.0096  0.0459
     37   0.0279  0.0104     0.0084  0.0431
     38   0.0285  0.0109     0.0085  0.0449
     39   0.0299  0.0113     0.0090  0.0469
     40   0.0315  0.0116     0.0100  0.0482
     41   0.0325  0.0118     0.0105  0.0501

