trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1351 760.00  0.00 800.00  0.71  1
  1  647 360.00  0.00 800.00 520.00  0
  2  626 350.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  1
  4  679 380.00  0.00 800.00 52.00  1
  5  769 430.00  0.00 800.00 52.00  0
  6  769 410.00  0.00 800.00 104.00  0
  7  769 440.00  0.00 800.00 104.00  0
  8  769 440.00  0.00 800.00 26.00  1
  9  769 440.00  0.00 800.00 104.00  0
 10  769 410.00  0.00 800.00 104.00  0
 11  769 450.00  0.00 800.00 104.00  0
 12  769 420.00  0.00 800.00 104.00  0
 13  769 420.00  0.00 800.00 104.00  0
 14  769 420.00  0.00 800.00 26.00  1
 15  769 440.00  0.00 800.00 26.00  0
 16  679 380.00  0.00 800.00 52.00  1
 17  661 370.00  0.00 800.00 52.00  1
 18  643 360.00  0.00 800.00 52.00  1
 19  805 450.00  0.00 800.00 52.00  0
 20  625 350.00  0.00 800.00 52.00  1
 21  805 470.00  0.00 800.00 26.00  0
 22  643 360.00  0.00 800.00 52.00  1
 23  607 340.00  0.00 800.00 52.00  1
 24  841 470.00  0.00 800.00 52.00  0
 25  607 330.00  0.00 800.00 104.00  0
 26  607 360.00  0.00 800.00 104.00  0
 27  625 350.00  0.00 800.00 52.00  1
 28  625 350.00  0.00 800.00 104.00  0
 29  625 370.00  0.00 800.00 104.00  0
 30  607 340.00  0.00 800.00 52.00  1
 31  625 330.00  0.00 800.00 26.00  1
 32  607 320.00  0.00 800.00 104.00  0
 33  607 360.00  0.00 800.00 104.00  0
 34  625 350.00  0.00 800.00 52.00  1
 35  625 370.00  0.00 800.00 26.00  1
 36  625 340.00  0.00 800.00 26.00  1
 37  607 340.00  0.00 800.00 52.00  1
 38  607 350.00  0.00 800.00 26.00  1
 39  607 320.00  0.00 800.00 26.00  1
 40  625 350.00  0.00 800.00 52.00  1
 41  823 460.00  0.00 800.00 52.00  0
