trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  968 540.00  0.00 800.00 104.00  0
  1  661 370.00  0.00 800.00 52.00  0
  2  766 430.00  0.00 800.00 17.20  1
  3  785 440.00  0.00 800.00 21.50  0
  4  677 380.00  0.00 800.00 21.50  1
  5  732 410.00  0.00 800.00 26.00  0
  6  732 410.00  0.00 800.00 52.00  0
  7  677 380.00  0.00 800.00 21.50  0
  8  677 370.00  0.00 800.00 17.20  0
  9 1420 790.00  0.00 800.00 260.00  0
 10 1420 790.00  0.00 800.00 156.00  0
 11  675 380.00  0.00 800.00 12.90  1
 12  675 400.00  0.00 800.00 10.80  1
 13  586 330.00  0.00 800.00 17.20  1
 14  731 410.00  0.00 800.00 21.50  1
 15  840 470.00  0.00 800.00 26.00  0
 16  822 460.00  0.00 800.00 26.00  0
 17  677 380.00  0.00 800.00 21.50  1
 18  641 360.00  0.00 800.00 21.50  0
 19  550 310.00  0.00 800.00 17.20  1
 20  695 390.00  0.00 800.00 21.50  1
 21  641 360.00  0.00 800.00 21.50  0
 22  875 490.00  0.00 800.00 21.50  0
 23  731 410.00  0.00 800.00 21.50  0
 24  514 290.00  0.00 800.00 17.20  1
 25  749 420.00  0.00 800.00 21.50  1
 26  586 330.00  0.00 800.00 17.20  1
 27  677 380.00  0.00 800.00 21.50  0
 28  767 430.00  0.00 800.00 21.50  0
 29  749 420.00  0.00 800.00 21.50  0
 30  767 410.00  0.00 800.00 26.00  0
 31  767 450.00  0.00 800.00 26.00  0
 32  731 410.00  0.00 800.00 21.50  1
 33  695 390.00  0.00 800.00 21.50  1
 34  659 370.00  0.00 800.00 21.50  1
 35  623 350.00  0.00 800.00 21.50  1
 36  623 340.00  0.00 800.00 26.00  0
 37  659 370.00  0.00 800.00 21.50  0
 38  731 410.00  0.00 800.00 21.50  0
 39  749 420.00  0.00 800.00 21.50  0
 40  785 440.00  0.00 800.00 21.50  0
 41  767 430.00  0.00 800.00 21.50  0
