Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7574  2.0720    -9.1276 -2.6625
      1  -4.0158  1.1218    -5.7975 -2.4848
      2  -4.9605  0.6628    -5.8868 -4.2654
      3  -4.5325  0.4838    -5.1823 -4.1465
      4  -4.6937  0.3930    -5.2549 -4.5123
      5  -4.5292  0.3558    -4.9699 -4.3463
      6  -4.5476  0.2694    -4.9622 -4.5198
      7  -4.5187  0.1937    -4.7838 -4.5196
      8  -4.5196  1.1209    -7.4533 -3.2798
      9  -4.4012  0.8954    -5.9453 -3.4062
     10  -4.4207  0.7126    -5.3195 -3.7786
     11  -4.4302  0.5701    -5.1618 -4.0021
     12  -4.3745  0.4606    -4.9698 -4.0069
     13  -4.2871  0.4456    -4.7848 -3.9626
     14  -4.3125  0.3589    -4.7818 -4.0440
     15  -4.2641  0.3111    -4.7450 -4.0256
     16  -4.2514  0.2566    -4.7272 -4.0314
     17  -4.2721  0.2110    -4.7314 -4.1168
     18  -4.2412  0.1816    -4.6703 -4.0921
     19  -4.2436  0.1567    -4.6684 -4.1139
     20  -4.2566  0.1350    -4.6776 -4.2368
     21  -4.2408  0.1137    -4.5883 -4.2179
     22  -4.2457  0.1007    -4.5917 -4.2405
     23  -4.2425  0.0918    -4.5518 -4.2406
     24  -4.2359  0.0801    -4.5088 -4.2402
     25  -4.2411  0.0703    -4.5095 -4.2450
     26  -4.2360  0.0597    -4.5045 -4.2446
     27  -4.2374  0.0555    -4.5046 -4.2459
     28  -4.2388  0.0514    -4.5046 -4.2473
     29  -4.2384  0.0498    -4.5042 -4.2473
     30  -4.2402  0.0455    -4.5044 -4.2489
     31  -4.2411  0.0433    -4.5046 -4.2496
     32  -4.2415  0.0421    -4.5047 -4.2500
     33  -4.2417  0.0414    -4.5047 -4.2502
     34  -4.2420  0.0409    -4.5047 -4.2504
     35  -4.2422  0.0405    -4.5048 -4.2506
     36  -4.2422  0.0403    -4.5048 -4.2506
     37  -4.2418  0.0390    -4.5044 -4.2506
     38  -4.2411  0.0365    -4.5037 -4.2506
     39  -4.2385  0.0252    -4.5012 -4.2504
     40  -4.2384  0.0246    -4.5011 -4.2504
     41  -4.2385  0.0243    -4.5011 -4.2505

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0070  0.1898
      1   0.1017  0.0587     0.0069  0.1898
      2   0.1011  0.0590     0.0059  0.1898
      3   0.1013  0.0588     0.0064  0.1897
      4   0.1044  0.0576     0.0092  0.1901
      5   0.1065  0.0576     0.0094  0.1906
      6   0.1146  0.0549     0.0170  0.1917
      7   0.1223  0.0517     0.0270  0.1926
      8   0.0169  0.0153     0.0000  0.0436
      9   0.0186  0.0151     0.0000  0.0448
     10   0.0212  0.0154     0.0001  0.0473
     11   0.0234  0.0155     0.0006  0.0494
     12   0.0255  0.0156     0.0016  0.0516
     13   0.0257  0.0156     0.0017  0.0519
     14   0.0279  0.0157     0.0030  0.0540
     15   0.0299  0.0163     0.0040  0.0570
     16   0.0310  0.0162     0.0056  0.0580
     17   0.0330  0.0163     0.0076  0.0600
     18   0.0349  0.0168     0.0083  0.0626
     19   0.0354  0.0167     0.0091  0.0629
     20   0.0373  0.0168     0.0104  0.0651
     21   0.0391  0.0171     0.0119  0.0673
     22   0.0402  0.0169     0.0137  0.0681
     23   0.0410  0.0168     0.0145  0.0685
     24   0.0424  0.0169     0.0153  0.0700
     25   0.0437  0.0169     0.0164  0.0716
     26   0.0452  0.0170     0.0175  0.0731
     27   0.0456  0.0169     0.0183  0.0734
     28   0.0463  0.0168     0.0193  0.0739
     29   0.0465  0.0167     0.0199  0.0740
     30   0.0475  0.0168     0.0211  0.0749
     31   0.0483  0.0167     0.0216  0.0755
     32   0.0489  0.0167     0.0221  0.0759
     33   0.0492  0.0166     0.0225  0.0762
     34   0.0498  0.0166     0.0229  0.0768
     35   0.0503  0.0165     0.0234  0.0773
     36   0.0505  0.0165     0.0237  0.0775
     37   0.0506  0.0165     0.0239  0.0775
     38   0.0509  0.0164     0.0243  0.0778
     39   0.0521  0.0165     0.0254  0.0793
     40   0.0522  0.0165     0.0256  0.0794
     41   0.0526  0.0165     0.0262  0.0797

